,State.Code,State.Name,Tier 1 Code,Tier 1 Description,Pollutant,year,Sum
282,23,ME,1,FUEL COMB. ELEC. UTIL.,CO,1996,0.1191
283,23,ME,2,FUEL COMB. INDUSTRIAL,CO,1996,6.52468
284,23,ME,3,FUEL COMB. OTHER,CO,1996,38.77406
285,23,ME,4,CHEMICAL & ALLIED PRODUCT MFG,CO,1996,NA
286,23,ME,5,METALS PROCESSING,CO,1996,NA
287,23,ME,6,PETROLEUM & RELATED INDUSTRIES,CO,1996,NA
288,23,ME,7,OTHER INDUSTRIAL PROCESSES,CO,1996,2.60526
289,23,ME,8,SOLVENT UTILIZATION,CO,1996,NA
290,23,ME,9,STORAGE & TRANSPORT,CO,1996,NA
291,23,ME,10,WASTE DISPOSAL & RECYCLING,CO,1996,20.2073
292,23,ME,11,HIGHWAY VEHICLES,CO,1996,454.0267
293,23,ME,12,OFF-HIGHWAY,CO,1996,144.76057
294,23,ME,14,MISCELLANEOUS,CO,1996,4.78474
295,23,ME,15,WILDFIRES,CO,1996,NA
296,23,ME,16,PRESCRIBED FIRES,CO,1996,NA
297,24,MD,1,FUEL COMB. ELEC. UTIL.,CO,1996,3.33944
298,24,MD,2,FUEL COMB. INDUSTRIAL,CO,1996,1.1657
299,24,MD,3,FUEL COMB. OTHER,CO,1996,60.5854
300,24,MD,4,CHEMICAL & ALLIED PRODUCT MFG,CO,1996,0.0288
301,24,MD,5,METALS PROCESSING,CO,1996,42.1763
302,24,MD,6,PETROLEUM & RELATED INDUSTRIES,CO,1996,0.1024
303,24,MD,7,OTHER INDUSTRIAL PROCESSES,CO,1996,0.5943
304,24,MD,8,SOLVENT UTILIZATION,CO,1996,0.0134
305,24,MD,9,STORAGE & TRANSPORT,CO,1996,0.0191
306,24,MD,10,WASTE DISPOSAL & RECYCLING,CO,1996,60.26472
307,24,MD,11,HIGHWAY VEHICLES,CO,1996,1372.23954
308,24,MD,12,OFF-HIGHWAY,CO,1996,455.59404
309,24,MD,14,MISCELLANEOUS,CO,1996,5.59714
310,24,MD,15,WILDFIRES,CO,1996,NA
311,24,MD,16,PRESCRIBED FIRES,CO,1996,NA
312,25,MA,1,FUEL COMB. ELEC. UTIL.,CO,1996,4.82225
313,25,MA,2,FUEL COMB. INDUSTRIAL,CO,1996,15.75592
314,25,MA,3,FUEL COMB. OTHER,CO,1996,58.5976
315,25,MA,4,CHEMICAL & ALLIED PRODUCT MFG,CO,1996,0.07535
316,25,MA,5,METALS PROCESSING,CO,1996,0.9826
317,25,MA,6,PETROLEUM & RELATED INDUSTRIES,CO,1996,0.00604
318,25,MA,7,OTHER INDUSTRIAL PROCESSES,CO,1996,0.30107
319,25,MA,8,SOLVENT UTILIZATION,CO,1996,0.00532
320,25,MA,9,STORAGE & TRANSPORT,CO,1996,0.00402
321,25,MA,10,WASTE DISPOSAL & RECYCLING,CO,1996,66.66983
322,25,MA,11,HIGHWAY VEHICLES,CO,1996,1554.62075
323,25,MA,12,OFF-HIGHWAY,CO,1996,533.27211
324,25,MA,14,MISCELLANEOUS,CO,1996,2.95311
325,25,MA,15,WILDFIRES,CO,1996,NA
326,25,MA,16,PRESCRIBED FIRES,CO,1996,NA
327,26,MI,1,FUEL COMB. ELEC. UTIL.,CO,1996,12.43902
328,26,MI,2,FUEL COMB. INDUSTRIAL,CO,1996,23.9671
329,26,MI,3,FUEL COMB. OTHER,CO,1996,177.35918
330,26,MI,4,CHEMICAL & ALLIED PRODUCT MFG,CO,1996,0.05576
331,26,MI,5,METALS PROCESSING,CO,1996,35.57853
332,26,MI,6,PETROLEUM & RELATED INDUSTRIES,CO,1996,2.01983
333,26,MI,7,OTHER INDUSTRIAL PROCESSES,CO,1996,7.83564
334,26,MI,8,SOLVENT UTILIZATION,CO,1996,0.01633
335,26,MI,9,STORAGE & TRANSPORT,CO,1996,0.07102
336,26,MI,10,WASTE DISPOSAL & RECYCLING,CO,1996,86.78095
337,26,MI,11,HIGHWAY VEHICLES,CO,1996,3379.82364
338,26,MI,12,OFF-HIGHWAY,CO,1996,990.11518
339,26,MI,14,MISCELLANEOUS,CO,1996,7.62272
340,26,MI,15,WILDFIRES,CO,1996,NA
341,26,MI,16,PRESCRIBED FIRES,CO,1996,NA
342,27,MN,1,FUEL COMB. ELEC. UTIL.,CO,1996,4.98064
343,27,MN,2,FUEL COMB. INDUSTRIAL,CO,1996,11.7427
344,27,MN,3,FUEL COMB. OTHER,CO,1996,86.2901
345,27,MN,4,CHEMICAL & ALLIED PRODUCT MFG,CO,1996,0.00906
346,27,MN,5,METALS PROCESSING,CO,1996,4.43138
347,27,MN,6,PETROLEUM & RELATED INDUSTRIES,CO,1996,57.3703
348,27,MN,7,OTHER INDUSTRIAL PROCESSES,CO,1996,1.87068
349,27,MN,8,SOLVENT UTILIZATION,CO,1996,NA
350,27,MN,9,STORAGE & TRANSPORT,CO,1996,NA
351,27,MN,10,WASTE DISPOSAL & RECYCLING,CO,1996,38.78106
352,27,MN,11,HIGHWAY VEHICLES,CO,1996,1680.16527
353,27,MN,12,OFF-HIGHWAY,CO,1996,563.78788
354,27,MN,14,MISCELLANEOUS,CO,1996,43.61282
355,27,MN,15,WILDFIRES,CO,1996,NA
356,27,MN,16,PRESCRIBED FIRES,CO,1996,NA
357,28,MS,1,FUEL COMB. ELEC. UTIL.,CO,1996,6.68022
358,28,MS,2,FUEL COMB. INDUSTRIAL,CO,1996,23.7052
359,28,MS,3,FUEL COMB. OTHER,CO,1996,23.11681
360,28,MS,4,CHEMICAL & ALLIED PRODUCT MFG,CO,1996,29.40809
361,28,MS,5,METALS PROCESSING,CO,1996,1.71829
362,28,MS,6,PETROLEUM & RELATED INDUSTRIES,CO,1996,0.11025
363,28,MS,7,OTHER INDUSTRIAL PROCESSES,CO,1996,23.26891
364,28,MS,8,SOLVENT UTILIZATION,CO,1996,0.19819
365,28,MS,9,STORAGE & TRANSPORT,CO,1996,0.02005
366,28,MS,10,WASTE DISPOSAL & RECYCLING,CO,1996,48.46282
367,28,MS,11,HIGHWAY VEHICLES,CO,1996,972.88991
368,28,MS,12,OFF-HIGHWAY,CO,1996,210.90979
369,28,MS,14,MISCELLANEOUS,CO,1996,123.09624
370,28,MS,15,WILDFIRES,CO,1996,NA
371,28,MS,16,PRESCRIBED FIRES,CO,1996,NA
372,29,MO,1,FUEL COMB. ELEC. UTIL.,CO,1996,8.60188
373,29,MO,2,FUEL COMB. INDUSTRIAL,CO,1996,3.70349
374,29,MO,3,FUEL COMB. OTHER,CO,1996,69.21436
375,29,MO,4,CHEMICAL & ALLIED PRODUCT MFG,CO,1996,30.54631
376,29,MO,5,METALS PROCESSING,CO,1996,55.58032
377,29,MO,6,PETROLEUM & RELATED INDUSTRIES,CO,1996,0.13478
378,29,MO,7,OTHER INDUSTRIAL PROCESSES,CO,1996,7.47168
379,29,MO,8,SOLVENT UTILIZATION,CO,1996,0.00006
380,29,MO,9,STORAGE & TRANSPORT,CO,1996,NA
381,29,MO,10,WASTE DISPOSAL & RECYCLING,CO,1996,62.17244
382,29,MO,11,HIGHWAY VEHICLES,CO,1996,1929.93137
383,29,MO,12,OFF-HIGHWAY,CO,1996,492.02719
384,29,MO,14,MISCELLANEOUS,CO,1996,108.57123
385,29,MO,15,WILDFIRES,CO,1996,NA
386,29,MO,16,PRESCRIBED FIRES,CO,1996,NA
387,30,MT,1,FUEL COMB. ELEC. UTIL.,CO,1996,2.04772
388,30,MT,2,FUEL COMB. INDUSTRIAL,CO,1996,9.26493
389,30,MT,3,FUEL COMB. OTHER,CO,1996,19.50617
390,30,MT,4,CHEMICAL & ALLIED PRODUCT MFG,CO,1996,0.29046
391,30,MT,5,METALS PROCESSING,CO,1996,32.61814
392,30,MT,6,PETROLEUM & RELATED INDUSTRIES,CO,1996,0.09666
