"","State Code","State","Tier 1 Code","pollutant","year","Sum"
"344","15","HI","10","WASTE DISPOSAL & RECYCLING_SO2",1996,"0.00842"
"345","15","HI","11","HIGHWAY VEHICLES_CO",1996,"258.16487"
"346","15","HI","11","HIGHWAY VEHICLES_SO2",1996,"0.94633"
"347","15","HI","12","OFF-HIGHWAY_CO",1996,"96.58826"
"348","15","HI","12","OFF-HIGHWAY_SO2",1996,"2.0127"
"349","15","HI","14","MISCELLANEOUS_CO",1996,"3.17926"
"350","15","HI","14","MISCELLANEOUS_SO2",1996,"0.00261"
"351","15","HI","15","WILDFIRES_CO",1996,NA
"352","15","HI","15","WILDFIRES_SO2",1996,NA
"353","15","HI","16","PRESCRIBED FIRES_CO",1996,NA
"354","15","HI","16","PRESCRIBED FIRES_SO2",1996,NA
"355","16","ID","01","FUEL COMB. ELEC. UTIL._CO",1996,NA
"356","16","ID","01","FUEL COMB. ELEC. UTIL._SO2",1996,NA
"357","16","ID","02","FUEL COMB. INDUSTRIAL_CO",1996,"2.81142"
"358","16","ID","02","FUEL COMB. INDUSTRIAL_SO2",1996,"7.45745"
"359","16","ID","03","FUEL COMB. OTHER_CO",1996,"13.82954"
"360","16","ID","03","FUEL COMB. OTHER_SO2",1996,"2.91261"
"361","16","ID","04","CHEMICAL & ALLIED PRODUCT MFG_CO",1996,"0.0069"
"362","16","ID","04","CHEMICAL & ALLIED PRODUCT MFG_SO2",1996,"16.0619"
"363","16","ID","06","PETROLEUM & RELATED INDUSTRIES_CO",1996,NA
